"id"	"oas"
"GPR180"	"oas:101106020"
"ERI3"	"oas:101116000"
"COQ6"	"oas:101105664"
"FAM35A"	"oas:101113562"
"ACACA"	"oas:443186"
"SERPINA7"	"oas:443462"
"MGAT2"	"oas:101122525"
"EDAR"	"oas:101109349"
"HDAC3"	"oas:101107092"
"HHIPL1"	"oas:101117368"
"ARF6"	"oas:100302306"
"SHANK2"	"oas:101117805"
"HPS4"	"oas:101118387"
"MYO15A"	"oas:101111380"
"CCDC28A"	"oas:101122529"
"PRRT1"	"oas:100820743"
"PRRT1"	"oas:100820743"
"ARHGEF15"	"oas:101107803"
"RAPGEF4"	"oas:101112196"
"ADGRA2"	"oas:101117990"
"OARD1"	"oas:101104185"
"DLEC1"	"oas:101115235"
"SH3RF3"	"oas:101109609"
"NPR1"	"oas:101123436"
"ENTPD5"	"oas:101105824"
"HCFC1R1"	"oas:101120043"
"SLC35E3"	"oas:101105812"
"LMTK2"	"oas:101104881"
"PRKCG"	"oas:101116423"
"FBXO6"	"oas:101112337"
"TPM4"	"oas:101117499"
"PPFIA4"	"oas:101106189"
"KIFC3"	"oas:101103342"
"KIFC3"	"oas:101103342"
"IREB2"	"oas:101122309"
"CACNG7"	"oas:101116675"
"SAAL1"	"oas:101119504"
"XAF1"	"oas:101103655"
"XAF1"	"oas:101103655"
"C19orf45"	"oas:101122860"
"TSPAN7"	"oas:101102457"
"FOXB1"	"oas:101114446"
"NFYA"	"oas:101104434"
"CUEDC2"	"oas:101107917"
"BBOF1"	"oas:101105921"
"MECOM"	"oas:101121055"
"MECOM"	"oas:101121055"
"GCNT3"	"oas:101114706"
"GPRIN2"	"oas:101115601"
"ANKRD46"	"oas:101103486"
"MUM1L1"	"oas:101114248"
"THOC6"	"oas:101117811"
"HM13"	"oas:101111384"
"ADGRB2"	"oas:101106749"
"TNFAIP8L3"	"oas:101107794"
"TFPI2"	"oas:101113838"
"PNPLA7"	"oas:101102716"
"ID2"	"oas:101115522"
"ENOPH1"	"oas:101114870"
"ENOPH1"	"oas:101114870"
"ATF6B"	"oas:101113631"
"ECT2L"	"oas:101114710"
"ECT2L"	"oas:101114710"
"CTXN2"	"oas:101111808"
"ZNF862"	"oas:101121768"
"ZNF862"	"oas:101121768"
"SYTL4"	"oas:101102960"
"ABCC4"	"oas:101106534"
"ABCC4"	"oas:101106534"
"LMOD2"	"oas:101106254"
"SOCS4"	"oas:101117935"
"MAVS"	"oas:101119838"
"ALDH6A1"	"oas:101106176"
"RNF213"	"oas:101120424"
"TPT1"	"oas:106990107"
"TRIM21"	"oas:101114640"
"NSMF"	"oas:105614894"
"GTPBP6"	"oas:101117061"
"HSD17B12"	"oas:101110086"
"A2M"	"oas:101122940"
"SEC23B"	"oas:101122615"
"CACNG6"	"oas:101118891"
"HYKK"	"oas:101122555"
"TMEM30B"	"oas:101118618"
"XPO6"	"oas:101109933"
"LCNL1"	"oas:101102970"
"RHPN1"	"oas:101114282"
"TMEM53"	"oas:101109235"
"ZNF358"	"oas:101121258"
"LIN52"	"oas:101106081"
"NMNAT2"	"oas:101121440"
"CNGB1"	"oas:101121447"
"ANKRD12"	"oas:101106986"
"ANKRD12"	"oas:101106986"
"NLRP9"	"oas:101119412"
"SEPT10"	"oas:101109873"
"ACAA1"	"oas:101110625"
"MFSD13A"	"oas:101108179"
"WDR89"	"oas:101108053"
"BRF2"	"oas:101110733"
"C1orf228"	"oas:101109503"
"KRTAP24-1"	"oas:101116882"
"AKAP5"	"oas:101109277"
"VSX2"	"oas:101106436"
"EVA1A"	"oas:101110408"
"PLA2G5"	"oas:101103882"
"WASL"	"oas:101110390"
"PSMA4"	"oas:101122816"
"DHX35"	"oas:101106193"
"SPINK8"	"oas:101120530"
"CNOT6"	"oas:101120323"
"RAB11FIP1"	"oas:101118246"
"ZBTB1"	"oas:101110114"
"EXOC6"	"oas:101111176"
"EXOC6"	"oas:101111176"
"MRPL19"	"oas:101117575"
"RNF19A"	"oas:101103734"
"PDK1"	"oas:101113205"
"HSPA2"	"oas:101110063"
"BICDL2"	"oas:101118239"
"BCOR"	"oas:101114186"
"CSTF2"	"oas:101117378"
"CSTF2"	"oas:101117378"
"SLC13A5"	"oas:101103905"
"CLDN8"	"oas:101106811"
"ABCD4"	"oas:101106333"
"TMEM229B"	"oas:101114112"
"FCHSD1"	"oas:101107351"
"GCFC2"	"oas:101117834"
"GNGT1"	"oas:101114097"
"MYOG"	"oas:443405"
"TWSG1"	"oas:101107404"
"DRG2"	"oas:101110763"
"RAP1B"	"oas:101106317"
"REXO2"	"oas:101111575"
"TEPP"	"oas:101121702"
"ODF4"	"oas:101123477"
"DNAJC1"	"oas:101104447"
"DNAJC1"	"oas:101104447"
"CHRNA5"	"oas:101115407"
"CRIPT"	"oas:443419"
"GOT1L1"	"oas:101111158"
"REPS1"	"oas:101114963"
"REPS1"	"oas:101114963"
"SYNDIG1L"	"oas:101106851"
"RARRES2"	"oas:101122516"
"TMEM43"	"oas:101105535"
"KDR"	"oas:443087"
"CLDN17"	"oas:780474"
"ITIH3"	"oas:101109217"
"ADAM21"	"oas:101101897"
"GOLIM4"	"oas:101122321"
"NOX1"	"oas:101106050"
"TRPC3"	"oas:101105027"
"REPIN1"	"oas:105615174"
"AP5S1"	"oas:101120100"
"NPC2"	"oas:100037669"
"RALBP1"	"oas:101114963"
"RALBP1"	"oas:101114963"
"MCOLN1"	"oas:101121931"
"MCOLN1"	"oas:101121931"
"KRBA2"	"oas:101108063"
"SRRD"	"oas:101118644"
"OXSR1"	"oas:101110880"
"FBXO44"	"oas:101112585"
"FBXO44"	"oas:101112585"
"U2AF2"	"oas:101117445"
"NME6"	"oas:101112170"
"ADRB3"	"oas:100294559"
"INTS3"	"oas:101106729"
"ZNF319"	"oas:101103914"
"NELFB"	"oas:101103711"
"GNG11"	"oas:100192421"
"KIF2C"	"oas:101117203"
"USB1"	"oas:101121962"
"CCDC106"	"oas:101117695"
"HMGN5"	"oas:101108552"
"SBK1"	"oas:101120982"
"ID1"	"oas:101115505"
"COL16A1"	"oas:101107002"
"ACTR1A"	"oas:101108440"
"ZNF784"	"oas:101117959"
"RNF133"	"oas:105611039"
"HYAL4"	"oas:101106519"
"ALKBH3"	"oas:101110359"
"EIF4EBP1"	"oas:101111426"
"TAS2R16"	"oas:101105240"
"EIF1AD"	"oas:101112176"
